meg,budget_enrollment,actual_enrollment,enrollment_variance,enrollment_variance_pct,budget_pmpm,actual_pmpm,pmpm_variance,pmpm_variance_pct,budget_ann_cost,actual_ann_cost,cost_impact
ABD Adult,8005,7402,-603,-0.0753,846.95,1171.49,324.54,0.3832,81358017.0,104056084,22698067.0
Dual Eligible,22380,21991,-389,-0.0174,366.71,440.44,73.73,0.2011,98483637.6,116228069,17744431.4
General Adult,15000,12351,-2649,-0.1766,415.86,568.79,152.93,0.3677,74854800.0,84300969,9446169.0
New Adult Childless,38000,35417,-2583,-0.068,491.19,584.85,93.66,0.1907,223982640.0,248561762,24579122.0
New Adult w/Child,22500,21348,-1152,-0.0512,450.49,522.94,72.45,0.1608,121632300.0,133964311,12332011.0
BD Child,1800,1928,128,0.0711,1129.82,1326.1,196.28,0.1737,24404112.0,30680624,6276512.0
General Child,58480,55192,-3288,-0.0562,285.39,329.2,43.81,0.1535,200275286.4,218031111,17755824.6
CHIP,4411,5279,868,0.1968,184.55,227.18,42.63,0.231,9768600.6,14391483,4622882.4
Dr. D Expansion (IHIP),252,415,163,0.6468,400.0,463.83,63.83,0.1596,1209600.0,2309855,1100255.0
Pharmacy Only,9763,9207,-556,-0.0569,66.85,158.76,91.91,1.3749,7831878.6,17540018,9708139.4
Vermont Premium Assist.,14165,12999,-1166,-0.0823,31.85,34.61,2.76,0.0867,5413863.0,5398599,-15264.0
Vermont Cost Sharing,4995,2175,-2820,-0.5646,30.98,30.57,-0.41,-0.0132,1856941.2,797858,-1059083.2
